traditional,simplified,pinyin_numbered,cvdict_meaning,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,hanzii_status
標準模型,标准模型,biao1 zhun3 mo2 xing2,Mô hình Chuẩn (của vật lý hạt),,,,[],[],not_crawled
標準狀態,标准状态,biao1 zhun3 zhuang4 tai4,điều kiện tiêu chuẩn về nhiệt độ và áp suất,,,,[],[],not_crawled
標準狀況,标准状况,biao1 zhun3 zhuang4 kuang4,điều kiện tiêu chuẩn về nhiệt độ và áp suất,,,,[],[],not_crawled
標準組織,标准组织,biao1 zhun3 zu3 zhi1,tổ chức tiêu chuẩn; cơ quan tiêu chuẩn,,,,[],[],not_crawled
標準規格,标准规格,biao1 zhun3 gui1 ge2,tiêu chuẩn; quy cách,,,,[],[],not_crawled
標準語,标准语,biao1 zhun3 yu3,ngôn ngữ tiêu chuẩn,,,,[],[],not_crawled
標準間,标准间,biao1 zhun3 jian1,phòng tiêu chuẩn (khách sạn); phòng đôi với kích thước và tiện nghi tiêu chuẩn; viết tắt 標間|标间[biao1 jian1],,,,[],[],not_crawled
標準音,标准音,biao1 zhun3 yin1,phát âm tiêu chuẩn; tông tiêu chuẩn (ví dụ: A = 440 Hz),,,,[],[],not_crawled
標燈,标灯,biao1 deng1,đèn hiệu; đèn báo,,,,[],[],not_crawled
標牌,标牌,biao1 pai2,"nhãn; thẻ; biển; tấm bảng (bằng đồng, v.v.) có khắc chữ",,,,[],[],not_crawled
標界,标界,biao1 jie4,phân ranh giới; đường phân chia,,,,[],[],not_crawled
標的,标的,biao1 di4,mục tiêu; mục đích; điều mà người ta hy vọng đạt được,,,,[],[],not_crawled
標磚,标砖,biao1 zhuan1,gạch mốc (trong xây dựng); viên đá chủ chốt,,,,[],[],not_crawled
標示,标示,biao1 shi4,chỉ ra,,,,[],[],not_crawled
標稱,标称,biao1 cheng1,"danh nghĩa (điện áp, mã lực, v.v.)",,,,[],[],not_crawled
標稱核武器,标称核武器,biao1 cheng1 he2 wu3 qi4,vũ khí danh nghĩa,,,,[],[],not_crawled
標竿,标竿,biao1 gan1,tiêu chuẩn; cột làm dấu hoặc biểu tượng; cột treo cúp,,,,[],[],not_crawled
標籤,标签,biao1 qian1,nhãn; thẻ; (tin học) tab (thành phần giao diện),,,,[],[],not_crawled
標籤頁,标签页,biao1 qian1 ye4,tab (cửa sổ trình duyệt),,,,[],[],not_crawled
標線,标线,biao1 xian4,vạch kẻ (sơn trên đường để hướng dẫn người lái xe); vạch ngắm; lưới ngắm,,,,[],[],not_crawled
標繪,标绘,biao1 hui4,vẽ trên biểu đồ; đánh dấu,,,,[],[],not_crawled
標致,标致,Biao1 zhi4,Peugeot,,,,[],[],not_crawled
標致,标致,biao1 zhi5,(về phụ nữ) đẹp; xinh,,,,[],[],not_crawled
標號,标号,biao1 hao4,cấp,,,,[],[],not_crawled
標記,标记,biao1 ji4,ký hiệu; đánh dấu; biểu tượng; đánh dấu lên; (tin học) mã thông báo,,,,[],[],not_crawled
標誌,标志,biao1 zhi4,dấu hiệu; ký hiệu; biểu tượng; logo; tượng trưng; chỉ ra; đánh dấu,,,,[],[],not_crawled
標誌性,标志性,biao1 zhi4 xing4,mang tính biểu tượng,,,,[],[],not_crawled
標語,标语,biao1 yu3,khẩu hiệu viết; băng rôn,,,,[],[],not_crawled
標語牌,标语牌,biao1 yu3 pai2,bảng khẩu hiệu,,,,[],[],not_crawled
標識,标识,biao1 zhi4,biến thể của 標誌|标志[biao1 zhi4],,,,[],[],not_crawled
標賣,标卖,biao1 mai4,bán theo giá niêm yết; bán đấu thầu,,,,[],[],not_crawled
標配,标配,biao1 pei4,cung cấp như một tính năng tiêu chuẩn; tính năng tiêu chuẩn; thiết bị tiêu chuẩn; cấu hình tiêu chuẩn; (viết tắt của 標準配置|标准配置[biao1 zhun3 pei4 zhi4]),,,,[],[],not_crawled
標量,标量,biao1 liang4,đại lượng vô hướng,,,,[],[],not_crawled
標金,标金,biao1 jin1,thỏi vàng tiêu chuẩn; tiền đặt cọc khi nộp thầu,,,,[],[],not_crawled
標間,标间,biao1 jian1,"viết tắt của 標準間|标准间[biao1 zhun3 jian1], phòng tiêu chuẩn (khách sạn)",,,,[],[],not_crawled
標音法,标音法,biao1 yin1 fa3,phiên âm; hệ thống biểu diễn âm thanh nói,,,,[],[],not_crawled
標題,标题,biao1 ti2,tiêu đề; đề mục; tựa đề; chú thích; chủ đề,,,,[],[],not_crawled
標題新聞,标题新闻,biao1 ti2 xin1 wen2,tin tức tiêu đề; câu chuyện tiêu đề,,,,[],[],not_crawled
標題欄,标题栏,biao1 ti2 lan2,thanh tiêu đề (của cửa sổ) (máy tính),,,,[],[],not_crawled
標題語,标题语,biao1 ti2 yu3,từ trong tiêu đề; mục (trong từ điển),,,,[],[],not_crawled
標題黨,标题党,biao1 ti2 dang3,"""người viết tiêu đề giật gân"", người viết tiêu đề gây hiểu lầm để thu hút người dùng Internet; câu tiêu đề câu view",,,,[],[],not_crawled
標高,标高,biao1 gao1,độ cao; mức độ,,,,[],[],not_crawled
標點,标点,biao1 dian3,dấu câu; một dấu câu; chấm câu,,,,[],[],not_crawled
標點符號,标点符号,biao1 dian3 fu2 hao4,dấu câu; một dấu câu,,,,[],[],not_crawled
樛,樛,Jiu1,họ [Jiu1],,,,[],[],not_crawled
樛,樛,jiu1,rủ xuống,,,,[],[],not_crawled
樞,枢,shu1,(dạng kết hợp) bản lề; điểm then chốt (thường nghĩa bóng),,,,[],[],not_crawled
樞垣,枢垣,shu1 yuan2,ngự sử đài,,,,[],[],not_crawled
樞密院,枢密院,shu1 mi4 yuan4,hội đồng cơ mật,,,,[],[],not_crawled
樞機,枢机,shu1 ji1,hồng y (Công giáo),,,,[],[],not_crawled
樞機主教,枢机主教,shu1 ji1 zhu3 jiao4,hồng y (của Giáo hội Công giáo),,,,[],[],not_crawled
樞紐,枢纽,shu1 niu3,trung tâm (ví dụ: mạng lưới giao thông); bản lề; điểm pivot; điểm tựa,,,,[],[],not_crawled
樞軸,枢轴,shu1 zhou2,điểm pivot; điểm tựa,,,,[],[],not_crawled
樟,樟,zhang1,long não; Cinnamomum camphora,,,,[],[],not_crawled
樟宜,樟宜,Zhang1 yi2,"Changi, khu vực ở phía đông Singapore, nơi Sân bay Changi Singapore tọa lạc",,,,[],[],not_crawled
樟木,樟木,Zhang1 mu4,"Dram (Trung Quốc gọi là Zhangmu), thị trấn ở biên giới Tây Tạng-Nepal",,,,[],[],not_crawled
樟樹,樟树,Zhang1 shu4,"Zhangshu, thành phố cấp huyện ở Nghi Xuân 宜春[Yi2 chun1], Giang Tây",,,,[],[],not_crawled
樟樹,樟树,zhang1 shu4,cây long não; Cinnamonum camphara,,,,[],[],not_crawled
樟樹市,樟树市,Zhang1 shu4 shi4,"Zhangshu, thành phố cấp huyện ở Nghi Xuân 宜春, Giang Tây",,,,[],[],not_crawled
樟腦,樟脑,zhang1 nao3,long não C10H16O,,,,[],[],not_crawled
樟腦丸,樟脑丸,zhang1 nao3 wan2,viên long não; viên chống mối mọt,,,,[],[],not_crawled
樟腦球,樟脑球,zhang1 nao3 qiu2,viên long não; viên chống mối mọt,,,,[],[],not_crawled
樠,樠,men2,cây du; cây gum,,,,[],[],not_crawled
模,模,mo2,bắt chước; mô hình; chuẩn; mẫu,,,,[],[],not_crawled
模,模,mu2,khuôn; khuôn đúc; khuôn mẫu; mẫu hình,,,,[],[],not_crawled
模仿,模仿,mo2 fang3,bắt chước; sao chép; mô phỏng; nhái; mô hình,,,,[],[],not_crawled
模仿品,模仿品,mo2 fang3 pin3,sản phẩm bắt chước; hàng giả; đồ giả,,,,[],[],not_crawled
模似,模似,mo2 si4,mô phỏng; mô phỏng theo,,,,[],[],not_crawled
模具,模具,mu2 ju4,khuôn; khuôn mẫu; mẫu hoặc khuôn đúc; phiên âm ở Đài Loan: [mo2 ju4],,,,[],[],not_crawled
模因,模因,mo2 yin1,meme (từ mượn),,,,[],[],not_crawled
模型,模型,mo2 xing2,mô hình; khuôn; mẫu,,,,[],[],not_crawled
模塊,模块,mo2 kuai4,mô-đun (trong phần mềm); đơn vị chức năng; thành phần,,,,[],[],not_crawled
模塊化,模块化,mo2 kuai4 hua4,tính mô-đun,,,,[],[],not_crawled
模塊化理論,模块化理论,mo2 kuai4 hua4 li3 lun4,lý thuyết tính mô-đun,,,,[],[],not_crawled
模塊單元,模块单元,mo2 kuai4 dan1 yuan2,đơn vị mô-đun,,,,[],[],not_crawled
模塊式,模块式,mo2 kuai4 shi4,dạng mô-đun,,,,[],[],not_crawled
模塊板,模块板,mo2 kuai4 ban3,bảng mô-đun,,,,[],[],not_crawled
模壓,模压,mu2 ya1,ép khuôn,,,,[],[],not_crawled
模子,模子,mu2 zi5,khuôn; mẫu; khuôn mẫu hoặc bản mẫu,,,,[],[],not_crawled
模寫,模写,mo2 xie3,biến thể của 摹寫|摹写[mo2 xie3],,,,[],[],not_crawled
模式,模式,mo2 shi4,chế độ; phương pháp; mô hình,,,,[],[],not_crawled
模式標本,模式标本,mo2 shi4 biao1 ben3,mẫu vật điển hình (dùng để định nghĩa một loài),,,,[],[],not_crawled
模式種,模式种,mo2 shi4 zhong3,loài điển hình (dùng để định nghĩa một chi trong phân loại học),,,,[],[],not_crawled
模形,模形,mo2 xing2,mô hình,,,,[],[],not_crawled
模態,模态,mo2 tai4,"mô thức (tin học, ngôn ngữ học)",,,,[],[],not_crawled
模擬,模拟,mo2 ni3,"mô phỏng; bắt chước; tương tự (thiết bị, trái ngược với kỹ thuật số)",,,,[],[],not_crawled
模擬信號,模拟信号,mo2 ni3 xin4 hao4,tín hiệu tương tự,,,,[],[],not_crawled
模擬器,模拟器,mo2 ni3 qi4,trình giả lập,,,,[],[],not_crawled
模擬放大器,模拟放大器,mo2 ni3 fang4 da4 qi4,bộ khuếch đại tương tự,,,,[],[],not_crawled
模數,模数,mo2 shu4,tương tự sang số; viết tắt của 模擬到數字|模拟到数字,,,,[],[],not_crawled
模數轉換器,模数转换器,mo2 shu4 zhuan3 huan4 qi4,bộ chuyển đổi tương tự sang số (ADC),,,,[],[],not_crawled
模板,模板,mu2 ban3,mẫu; (kiến trúc) cốp pha,,,,[],[],not_crawled
模樣,模样,mu2 yang4,dáng vẻ; phong cách; diện mạo; xấp xỉ; khoảng; cũng đọc là [mo2 yang4],,,,[],[],not_crawled
模版,模版,mu2 ban3,biến thể của 模板[mu2 ban3],,,,[],[],not_crawled
模特,模特,mo2 te4,người mẫu (từ mượn),,,,[],[],not_crawled
模特兒,模特儿,mo2 te4 r5,người mẫu (từ mượn),,,,[],[],not_crawled
模稜,模棱,mo2 leng2,mơ hồ; chưa quyết định và không rõ ràng,,,,[],[],not_crawled
模稜兩可,模棱两可,mo2 leng2 liang3 ke3,mập mờ; mơ hồ,,,,[],[],not_crawled
模範,模范,mo2 fan4,hình mẫu; tấm gương tốt,,,,[],[],not_crawled
模糊,模糊,mo2 hu5,mơ hồ; không rõ; rõ mờ,,,,[],[],not_crawled
模糊不清,模糊不清,mo2 hu5 bu4 qing1,không rõ; rõ mờ; mờ nhòe theo thời gian,,,,[],[],not_crawled
模糊數學,模糊数学,mo2 hu5 shu4 xue2,toán học mờ,,,,[],[],not_crawled
模糊邏輯,模糊逻辑,mo2 hu5 luo2 ji5,fuzzy logic,,,,[],[],not_crawled
模組,模组,mo2 zu3,(phần cứng hoặc phần mềm) mô-đun (máy tính),,,,[],[],not_crawled
模胡,模胡,mo2 hu5,biến thể của 模糊[mo2 hu5],,,,[],[],not_crawled
模里西斯,模里西斯,Mo2 li3 xi1 si1,Mauritius (Đài Loan),,,,[],[],not_crawled
樣,样,yang4,"cách; thứ; phương thức; diện mạo; hình dạng; lượng từ: loại, kiểu",,,,[],[],not_crawled
樣例,样例,yang4 li4,mẫu; mô hình; ví dụ,,,,[],[],not_crawled
樣兒,样儿,yang4 r5,xem 樣子|样子[yang4zi5],,,,[],[],not_crawled
樣品,样品,yang4 pin3,mẫu; vật mẫu,,,,[],[],not_crawled
樣單,样单,yang4 dan1,bảng mẫu; biểu mẫu; (tin học) bảng kiểu dáng,,,,[],[],not_crawled
樣子,样子,yang4 zi5,dáng vẻ; tác phong; kiểu mẫu; hình mẫu,,,,[],[],not_crawled
樣式,样式,yang4 shi4,loại; phong cách,,,,[],[],not_crawled
樣張,样张,yang4 zhang1,(in ấn) bản in thử; trang mẫu; ảnh mẫu; (thiết kế thời trang) bảng mẫu rập,,,,[],[],not_crawled
樣本,样本,yang4 ben3,mẫu; vật mẫu,,,,[],[],not_crawled
樣板,样板,yang4 ban3,khuôn mẫu; nguyên mẫu; mô hình; ví dụ,,,,[],[],not_crawled
樣板戲,样板戏,yang4 ban3 xi4,kịch mẫu (các vở kinh kịch và ba-lê được sản xuất trong thời Cách mạng Văn hóa),,,,[],[],not_crawled
樣條函數,样条函数,yang4 tiao2 han2 shu4,hàm spline (toán),,,,[],[],not_crawled
樣樣,样样,yang4 yang4,mọi loại,,,,[],[],not_crawled
樣機,样机,yang4 ji1,nguyên mẫu,,,,[],[],not_crawled
樣章,样章,yang4 zhang1,chương mẫu,,,,[],[],not_crawled
樣貌,样貌,yang4 mao4,diện mạo; sự thể hiện,,,,[],[],not_crawled
樧,樧,sha1,Zanthoxylum ailanthoides,,,,[],[],not_crawled
樨,樨,xi1,Osmanthus fragrans,,,,[],[],not_crawled
権,権,quan2,biến thể cũ của 權|权[quan2],,,,[],[],not_crawled
樲,樲,er4,một loại táo chua,,,,[],[],not_crawled
樴,樴,zhi2,cọc; gậy,,,,[],[],not_crawled
樵,樵,qiao2,củi; thu lượm củi,,,,[],[],not_crawled
樵夫,樵夫,qiao2 fu1,người đốn củi; tiều phu,,,,[],[],not_crawled
樵子,樵子,qiao2 zi3,người đốn củi,,,,[],[],not_crawled
樶,樶,zui1,nhánh cây; một loại xe trượt dùng để qua khu vực bùn lầy (xưa),,,,[],[],not_crawled
樸,朴,pu3,mộc mạc và giản dị; phiên âm ở Đài Loan: [pu2],,,,[],[],not_crawled
樸實,朴实,pu3 shi2,mộc mạc; giản dị; chân thật; thực tế; chân thành và thật thà,,,,[],[],not_crawled
樸實無華,朴实无华,pu3 shi2 wu2 hua2,(thành ngữ) đơn giản; mộc mạc; không hoa mỹ,,,,[],[],not_crawled
樸次茅斯,朴次茅斯,Pu3 ci4 mao2 si1,"Portsmouth, cảng biển phía nam nước Anh",,,,[],[],not_crawled
樸素,朴素,pu3 su4,giản dị và đơn giản; không trang trí; cuộc sống giản đơn; không phô trương,,,,[],[],not_crawled
樸門,朴门,pu3 men2,permaculture (từ mượn),,,,[],[],not_crawled
樹,树,shu4,cây; trồng; triển khai,,,,[],[],not_crawled
樹上開花,树上开花,shu4 shang4 kai1 hua1,trang trí cây bằng hoa giả; biến thứ không có giá trị thành có giá trị (thành ngữ),,,,[],[],not_crawled
樹人,树人,shu4 ren2,chuẩn bị cho trẻ em trở thành công dân có năng lực,,,,[],[],not_crawled
樹倒猢猻散,树倒猢狲散,shu4 dao3 hu2 sun1 san4,Cây đổ thì khỉ tán loạn. (thành ngữ); (ví von) kẻ cơ hội rời bỏ sự nghiệp không thuận lợi; Chuột rời tàu chìm.,,,,[],[],not_crawled
樹冠,树冠,shu4 guan1,ngọn cây,,,,[],[],not_crawled
樹化玉,树化玉,shu4 hua4 yu4,mộc ngọc (loại gỗ hóa thạch),,,,[],[],not_crawled
樹叢,树丛,shu4 cong2,bụi cây; tầng cây thấp,,,,[],[],not_crawled
樹大招風,树大招风,shu4 da4 zhao1 feng1,nghĩa đen: cây cao đón gió (thành ngữ); nghĩa bóng: người nổi tiếng hoặc giàu có dễ bị chỉ trích,,,,[],[],not_crawled
樹屋,树屋,shu4 wu1,nhà trên cây,,,,[],[],not_crawled
樹幹,树干,shu4 gan4,thân cây,,,,[],[],not_crawled
樹懶,树懒,shu4 lan3,con lười (động vật),,,,[],[],not_crawled
樹挪死，人挪活,树挪死，人挪活,"shu4 nuo2 si3 , ren2 nuo2 huo2","nghĩa đen: chuyển chỗ, cây chết, người sống (thành ngữ); nghĩa bóng: con người, không như cây cối, phát triển nhờ thay đổi",,,,[],[],not_crawled
樹掛,树挂,shu4 gua4,băng (sương muối) hình thành trên cây,,,,[],[],not_crawled
樹敵,树敌,shu4 di2,gây thù địch; tạo kẻ thù với ai đó,,,,[],[],not_crawled
樹木,树木,shu4 mu4,cây,,,,[],[],not_crawled
樹林,树林,Shu4 lin2,"Thụ Lâm, thành phố Tân Bắc 新北市[Xin1 bei3 shi4], Đài Loan",,,,[],[],not_crawled
樹林,树林,shu4 lin2,rừng; khóm cây; rừng rậm,,,,[],[],not_crawled
樹林市,树林市,Shu4 lin2 shi4,"Thành phố Thụ Lâm ở Tân Bắc 新北市[Xin1 bei3 shi4], Đài Loan",,,,[],[],not_crawled
樹枝,树枝,shu4 zhi1,cành; cành cây,,,,[],[],not_crawled
樹枝狀晶,树枝状晶,shu4 zhi1 zhuang4 jing1,tinh thể hình cành cây (tinh thể học),,,,[],[],not_crawled
樹根,树根,shu4 gen1,rễ cây,,,,[],[],not_crawled
樹梢,树梢,shu4 shao1,ngọn cây; đỉnh ngọn cây,,,,[],[],not_crawled
樹棲,树栖,shu4 qi1,trên cây; sống trên cây,,,,[],[],not_crawled
樹樁,树桩,shu4 zhuang1,gốc cây,,,,[],[],not_crawled
樹欲靜而風不止,树欲静而风不止,shu4 yu4 jing4 er2 feng1 bu4 zhi3,"nghĩa đen: cây muốn yên mà gió chẳng ngừng (thành ngữ); nghĩa bóng: thế giới thay đổi, dù bạn có muốn hay không",,,,[],[],not_crawled
樹洞,树洞,shu4 dong4,hốc cây; (tiếng lóng) nền tảng ẩn danh để chia sẻ bí mật; (tiếng lóng) người bạn tâm giao,,,,[],[],not_crawled
樹液,树液,shu4 ye4,nhựa cây,,,,[],[],not_crawled
樹狀細胞,树状细胞,shu4 zhuang4 xi4 bao1,tế bào đuôi gai,,,,[],[],not_crawled
樹獺,树獭,shu4 ta3,con lười (họ Bradypodidae),,,,[],[],not_crawled
樹皮,树皮,shu4 pi2,vỏ cây,,,,[],[],not_crawled
樹碑立傳,树碑立传,shu4 bei1 li4 zhuan4,nghĩa đen: dựng bia viết truyện (thành ngữ); tôn vinh; tán dương; ca ngợi,,,,[],[],not_crawled
樹種,树种,shu4 zhong3,loài cây thân gỗ,,,,[],[],not_crawled
樹突,树突,shu4 tu1,sợi nhánh (phần nhánh của tế bào thần kinh),,,,[],[],not_crawled
樹突狀細胞,树突状细胞,shu4 tu1 zhuang4 xi4 bao1,tế bào đuôi gai,,,,[],[],not_crawled
樹立,树立,shu4 li4,thiết lập; xây dựng,,,,[],[],not_crawled
樹籬,树篱,shu4 li2,hàng rào cây,,,,[],[],not_crawled
樹脂,树脂,shu4 zhi1,nhựa cây,,,,[],[],not_crawled
樹膠,树胶,shu4 jiao1,nhựa cây; gôm cây,,,,[],[],not_crawled
樹苗,树苗,shu4 miao2,cây non,,,,[],[],not_crawled
樹莓,树莓,shu4 mei2,mâm xôi; raspberry,,,,[],[],not_crawled
樹莓派,树莓派,Shu4 mei2 Pai4,Raspberry Pi (máy tính),,,,[],[],not_crawled
樹葉,树叶,shu4 ye4,lá cây,,,,[],[],not_crawled
樹葡萄,树葡萄,shu4 pu2 tao5,quả nho Jaboticaba; cây nho Brazil,,,,[],[],not_crawled
樹葬,树葬,shu4 zang4,chôn tro cốt dưới gốc cây,,,,[],[],not_crawled
樹蔭,树荫,shu4 yin1,bóng cây; phiên âm Đài Loan [shu4 yin4],,,,[],[],not_crawled
樹蛙,树蛙,shu4 wa1,ếch cây,,,,[],[],not_crawled
樹袋熊,树袋熊,shu4 dai4 xiong2,gấu koala,,,,[],[],not_crawled
樹身,树身,shu4 shen1,thân cây,,,,[],[],not_crawled
樹陰,树阴,shu4 yin1,bóng mát (của cây),,,,[],[],not_crawled
樹高千丈，落葉歸根,树高千丈，落叶归根,"shu4 gao1 qian1 zhang4 , luo4 ye4 gui1 gen1","xem 樹高千丈，葉落歸根|树高千丈，叶落归根[shu4 gao1 qian1 zhang4 , ye4 luo4 gui1 gen1]",,,,[],[],not_crawled
樹高千丈，葉落歸根,树高千丈，叶落归根,"shu4 gao1 qian1 zhang4 , ye4 luo4 gui1 gen1","ví dụ: cây mọc cao ngàn trượng, lá rụng về cội (tục ngữ); ví dụ: mọi thứ đều có quê hương tổ tiên; khi về già, người xa xứ trở về quê hương",,,,[],[],not_crawled
樹鷚,树鹨,shu4 liu4,(loài chim ở Trung Quốc) chim sẻ lưng ô liu (Anthus hodgsoni),,,,[],[],not_crawled
樹麻雀,树麻雀,shu4 ma2 que4,(loài chim ở Trung Quốc) chim sẻ cây Âu-Á (Passer montanus),,,,[],[],not_crawled
樺,桦,hua4,(thực vật) cây bạch dương (chi Betula),,,,[],[],not_crawled
樺南,桦南,Hua4 nan2,"Huyện Hoa Nam ở thành phố Giai Mộc Tư 佳木斯[Jia1 mu4 si1], Hắc Long Giang",,,,[],[],not_crawled
樺南縣,桦南县,Hua4 nan2 xian4,"Huyện Hoa Nam ở thành phố Giai Mộc Tư 佳木斯[Jia1 mu4 si1], Hắc Long Giang",,,,[],[],not_crawled
樺川,桦川,Hua4 chuan1,"Huyện Hoa Xuyên ở thành phố Giai Mộc Tư 佳木斯[Jia1 mu4 si1], Hắc Long Giang",,,,[],[],not_crawled
樺川縣,桦川县,Hua4 chuan1 xian4,"huyện Huachuan ở thành phố Kiamusze hoặc Jiamusi 佳木斯[Jia1 mu4 si1], Hắc Long Giang",,,,[],[],not_crawled
樺木,桦木,hua4 mu4,cây bạch dương,,,,[],[],not_crawled
樺木科,桦木科,hua4 mu4 ke1,họ Betulaceae (họ cây lá rộng bao gồm bạch dương và tổng quán sủi),,,,[],[],not_crawled
樺樹,桦树,hua4 shu4,cây bạch dương,,,,[],[],not_crawled
樺甸,桦甸,Hua4 dian4,"Huadian, thành phố cấp huyện ở Chí Linh 吉林, tỉnh Cát Lâm",,,,[],[],not_crawled
樺甸市,桦甸市,Hua4 dian4 shi4,"Huadian, thành phố cấp huyện trong địa cấp thị Cát Lâm 吉林, tỉnh Cát Lâm",,,,[],[],not_crawled
樻,樻,gui4,biến thể cũ của 櫃|柜[gui4],,,,[],[],not_crawled
樽,樽,zun1,ly; chai; bình rượu,,,,[],[],not_crawled
樽罍,樽罍,zun1 lei2,hũ rượu bằng sành,,,,[],[],not_crawled
樾,樾,yue4,bóng râm của cây cối,,,,[],[],not_crawled
樿,椫,zhan3,(gỗ),,,,[],[],not_crawled
橁,橁,xun2,Fraxinus bungeana,,,,[],[],not_crawled
橃,橃,fa2,thuyền lớn; biến thể cũ của 筏[fa2],,,,[],[],not_crawled
橄,橄,gan3,quả oliu,,,,[],[],not_crawled
橄欖,橄榄,gan3 lan3,quả oliu Trung Quốc; quả oliu,,,,[],[],not_crawled
橄欖山,橄榄山,gan3 lan3 shan1,Núi Ô-liu (trong câu chuyện khổ nạn của Cơ Đốc giáo),,,,[],[],not_crawled
橄欖岩,橄榄岩,gan3 lan3 yan2,đá peridotit (địa chất),,,,[],[],not_crawled
橄欖枝,橄榄枝,gan3 lan3 zhi1,cành ô-liu; biểu tượng của hòa bình,,,,[],[],not_crawled
橄欖樹,橄榄树,gan3 lan3 shu4,cây ô-liu,,,,[],[],not_crawled
橄欖油,橄榄油,gan3 lan3 you2,dầu ô-liu,,,,[],[],not_crawled
橄欖球,橄榄球,gan3 lan3 qiu2,"bóng bầu dục (bóng bầu dục liên hiệp, bóng bầu dục Mỹ, bóng đá kiểu Úc, v.v.)",,,,[],[],not_crawled
橄欖石,橄榄石,gan3 lan3 shi2,"olivin (khoáng chất hình thành từ đá silicat magie-sắt (Mg,Fe)2SiO4); đá peridot",,,,[],[],not_crawled
橄欖綠,橄榄绿,gan3 lan3 lu:4,màu xanh ô liu,,,,[],[],not_crawled
橆,橆,wu2,biến thể của 無|无[wu2],,,,[],[],not_crawled
橇,橇,qiao1,xe trượt tuyết; xe kéo tuyết,,,,[],[],not_crawled
橈,桡,rao2,xương quay (giải phẫu); xương cẳng tay,,,,[],[],not_crawled
橈骨,桡骨,rao2 gu3,xương quay (giải phẫu); xương cẳng tay,,,,[],[],not_crawled
橊,橊,liu2,biến thể cũ của 榴[liu2],,,,[],[],not_crawled
橋,桥,qiao2,cầu,,,,[],[],not_crawled
橋台,桥台,qiao2 tai2,mố cầu (kiến trúc),,,,[],[],not_crawled
橋墩,桥墩,qiao2 dun1,mố cầu,,,,[],[],not_crawled
橋式整流器,桥式整流器,qiao2 shi4 zheng3 liu2 qi4,(điện) mạch chỉnh lưu cầu,,,,[],[],not_crawled
橋接,桥接,qiao2 jie1,kết nối cầu (trong mạng máy tính),,,,[],[],not_crawled
橋接器,桥接器,qiao2 jie1 qi4,thiết bị kết nối cầu (mạng máy tính),,,,[],[],not_crawled
橋本,桥本,Qiao2 ben3,Hashimoto (họ và địa danh Nhật Bản),,,,[],[],not_crawled
橋本龍太郎,桥本龙太郎,Qiao2 ben3 Long2 tai4 lang2,"HASHIMOTO Ryūtarō (1937-2006), chính trị gia Nhật Bản, thủ tướng 1996-1998",,,,[],[],not_crawled
橋東,桥东,Qiao2 dong1,"Quận Kiều Đông (nhiều nơi); Quận Kiều Đông của thành phố Thạch Gia Trang 石家莊市|石家庄市[Shi2 jia1 zhuang1 Shi4], Hà Bắc",,,,[],[],not_crawled
橋東區,桥东区,Qiao2 dong1 Qu1,"Quận Kiều Đông (nhiều nơi); Quận Kiều Đông của thành phố Thạch Gia Trang 石家莊市|石家庄市[Shi2 jia1 zhuang1 Shi4], Hà Bắc",,,,[],[],not_crawled
橋梁,桥梁,qiao2 liang2,cây cầu (nghĩa đen và bóng),,,,[],[],not_crawled
橋段,桥段,qiao2 duan4,"(điện ảnh, văn học, v.v.) cảnh; phép thoại; kỹ xảo cốt truyện; (viết bài hát) đoạn chuyển",,,,[],[],not_crawled
橋牌,桥牌,qiao2 pai2,trò chơi bài bridge (trò chơi bài),,,,[],[],not_crawled
橋腦,桥脑,qiao2 nao3,(giải phẫu) cầu não,,,,[],[],not_crawled
橋西,桥西,Qiao2 xi1,"Quận Qiaoxi (nhiều nơi); Quận Qiaoxi của thành phố Thạch Gia Trang 石家莊市|石家庄市[Shi2 jia1 zhuang1 Shi4], Hà Bắc",,,,[],[],not_crawled
橋西區,桥西区,Qiao2 xi1 Qu1,"Quận Qiaoxi (nhiều nơi); Quận Qiaoxi của thành phố Thạch Gia Trang 石家莊市|石家庄市[Shi2 jia1 zhuang1 Shi4], Hà Bắc",,,,[],[],not_crawled
橋鎮,桥镇,Qiao2 zhen4,"Bridgetown, thủ đô của Barbados (phiên âm Đài Loan)",,,,[],[],not_crawled
橋面,桥面,qiao2 mian4,làn đường; sàn; mặt cầu; mặt sàn cầu,,,,[],[],not_crawled
橋頭,桥头,Qiao2 tou2,"trấn Qiaotou hoặc Chiaotou ở huyện Cao Hùng 高雄縣|高雄县[Gao1 xiong2 xian4], tây nam Đài Loan",,,,[],[],not_crawled
橋頭,桥头,qiao2 tou2,mỗi đầu cầu; đầu cầu,,,,[],[],not_crawled
橋頭堡,桥头堡,qiao2 tou2 bao3,đầu cầu (quân sự); thành trì làm căn cứ tiến sâu vào lãnh thổ địch; tháp cầu (cấu trúc trang trí ở mỗi đầu cầu); (nghĩa bóng) cửa ngõ (nơi cung cấp lối vào các nơi khác); đầu cầu (vị trí quan trọng làm căn cứ mở rộng thêm),,,,[],[],not_crawled
橋頭鄉,桥头乡,Qiao2 tou2 xiang1,"trấn Qiaotou hoặc Chiaotou ở huyện Cao Hùng 高雄縣|高雄县[Gao1 xiong2 xian4], tây nam Đài Loan",,,,[],[],not_crawled
